split,scene,family,condition,degradation,true_siting,base_kernel,mode,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
development,dev_00102_straight_ridge,straight,ridge,triangle,left,spline16,algo6,0.003010097875830938,35.24197355165525,0.0315986034088599,0.0,-0.06173004803936437,0.06173004803936437,0.07602552079605343,1.4010090415026506,0.03276725896146326,3.033450671604701e-08
development,dev_00102_straight_ridge,straight,ridge,triangle,left,spline36,plain,0.003010628702279575,35.5398530505685,0.030706072177162286,0.0,0.0005594882139209492,0.0005594882139209492,0.06946470640367156,1.3665364328883587,0.032772471596087725,2.510136082058861e-08
development,dev_00102_straight_ridge,straight,ridge,triangle,left,spline36,algo6,0.002995468622662067,35.45074523881686,0.030579652309078092,0.0,-0.05624893717399174,0.05624893717399174,0.07343300207003499,1.34913371552354,0.03260742495989516,1.1087173507327126e-08
development,dev_00102_straight_ridge,straight,ridge,triangle,left,lanczos2,plain,0.0031373269850071606,35.1479905368891,0.032936062839423484,0.0,0.0004769929529954724,0.0004769929529954724,0.07623330446308615,1.4796737653917014,0.03415225477268299,3.822857425326393e-08
development,dev_00102_straight_ridge,straight,ridge,triangle,left,lanczos2,algo6,0.00310452745984167,35.06351938070527,0.032592506497795035,0.0,-0.06570860697657838,0.06570860697657838,0.08040064279727659,1.4474969749936981,0.03379520000002924,3.2019757089160736e-08
development,dev_00102_straight_ridge,straight,ridge,triangle,left,lanczos3,plain,0.0029752995496943814,35.676809851153536,0.030082833905680673,0.0,0.0005905926708426416,0.0005905926708426416,0.0699366803332868,1.3297526577866237,0.03238769412218105,2.5456150372823078e-08
development,dev_00102_straight_ridge,straight,ridge,triangle,left,lanczos3,algo6,0.0029544488616846474,35.58803271021742,0.02991534199233164,0.0,-0.05309054965633374,0.05309054965633374,0.07373863404813397,1.3132292470898201,0.03216069923447711,1.0377594402858189e-08
development,dev_00102_straight_ridge,straight,ridge,triangle,left,lanczos4,plain,0.0030336040310828725,35.68785182540416,0.030217777816850293,6.529929426809152e-08,0.0006143138544351059,0.0006143138544351059,0.0676018846758506,1.3254729092802104,0.03302232419983262,3.23745466413952e-08
development,dev_00102_straight_ridge,straight,ridge,triangle,left,lanczos4,algo6,0.0029987953387907162,35.60074481557195,0.030013497703802863,6.529929426809152e-08,-0.052759586612298674,0.052759586612298674,0.071385286969166,1.308112447510936,0.03264328396125209,1.5876832462492443e-08
development,dev_00102_straight_ridge,straight,ridge,triangle,left,jinc2,plain,0.003677989746932299,34.393529483315724,0.03861889187712785,0.0,0.0006001110099902345,0.0006001110099902345,0.06987108282423146,1.7424038027670885,0.04003778594501671,3.813987686520531e-08
