study,scene,seed,family,condition,degradation,true_siting,observation,motion,base,bm,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,center,q10,,algo2_lanczos3,0,0.002892260636334519,36.398746744373575,0.026657806667572004,0.0002853974833020142,0.00014801023671861033,0.00014801023671861033,0.04597979321653956,1.041497487430994,0.028870758655968876,4.59071071374984e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,center,q10,,algo2_lanczos3,1,0.002831862641261128,36.45874468395118,0.026287292951088774,0.0002873519905343918,0.0015170048804514515,0.0015170048804514515,0.04336518760307461,1.0223334646175797,0.02819120285234281,3.4714383738381523e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,center,q10,,algo6_jinc3,0,0.002366042313885771,38.22450115833805,0.021048698443250725,0.0002853974833020142,-0.0003888326349489377,0.0003888326349489377,0.021206939067991003,0.7840220198205592,0.023160948163075817,3.6855538686116538e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,center,q10,,algo6_jinc3,1,0.002308630740573002,38.247675057680695,0.020669954476467127,0.0002869221262655975,0.0015775693796290249,0.0015775693796290249,0.025777536042258208,0.7796507080810553,0.0225297177454368,1.9387475081852505e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,center,q10,,algo6_lanczos4,0,0.002554829446804462,38.18621248566955,0.02154047556082549,0.0002853974833020142,-0.00044284620739092127,0.00044284620739092127,0.01990431406624674,0.79622076592051,0.025204639305316266,4.209844129426139e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,center,q10,,algo6_lanczos4,1,0.0025079442304740537,38.21222842375797,0.021365952652992008,0.00028709051825682677,0.0014029601991307655,0.0014029601991307655,0.023456857247878812,0.7940002601458152,0.024655593015874427,3.540090152195522e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,center,q10_noise,,algo2_lanczos3,0,0.006785626764931005,35.870817623783175,0.030480277025319646,0.004269364332209253,-0.001143750170245605,0.001143750170245605,0.04790992671984509,1.0148022051593952,0.03478230355263111,0.005184361020967897
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,center,q10_noise,,algo2_lanczos3,1,0.005230917775483674,36.182393093206414,0.029938690509777103,0.0025362128861680894,-0.0016374466000516328,0.0016374466000516328,0.04530838450365537,1.005791516032319,0.033415634240511624,0.004522896790322626
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,center,q10_noise,,algo6_jinc3,0,0.0058495456366210435,37.56199716186897,0.024808193411358627,0.003820536048026822,-0.0013198933105444425,0.0013198933105444425,0.022220720994481472,0.7364537783717535,0.028670863414715444,0.00598589305965496
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,center,q10_noise,,algo6_jinc3,1,0.004393535436942073,37.94183225823613,0.024166797652686086,0.0022281863694799888,0.00011559657398720784,0.00011559657398720784,0.025366831494959264,0.7351525165710429,0.02718807416524561,0.005188772781929444
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,center,q10_noise,,algo6_lanczos4,0,0.006554372250366111,37.35073160936167,0.025537929014587592,0.004374273150460795,-0.001424783307202135,0.001424783307202135,0.022462419699852555,0.7492445120053222,0.03167398934740396,0.0068907375569410975
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,center,q10_noise,,algo6_lanczos4,1,0.004939002889587835,37.82219931803564,0.02505854919997676,0.002572870252714936,0.0008211451417172404,0.0008211451417172404,0.02512209190551775,0.7480255150231812,0.030273115107168753,0.006061627745761403
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,left,clean,,algo2_lanczos3,0,0.002942768802330381,35.61878718632426,0.030042866841805942,0.0,-0.015744713300183715,0.015744713300183715,0.04539119106042966,1.3540492253514866,0.03203431876110179,2.1642162686302548e-08
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,left,clean,,algo2_lanczos3,1,0.0028957864938866204,35.65978415185477,0.029853433186330915,4.3737354211597926e-06,-0.015772353755779584,0.015772353755779584,0.04400753986886662,1.343262507122287,0.031458959582128694,7.975439996252409e-09
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,left,clean,,algo6_jinc3,0,0.0023327003198536827,37.22062018330461,0.023480578519974232,0.0,-0.007005121370517607,0.007005121370517607,0.016537294317629816,0.9625064571733981,0.02539325716151368,2.4125689551943825e-08
