split,scene,family,condition,degradation,true_siting,assumed_siting,method,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
test,test_01000_sine_coedge,sine,coedge,lanczos,center,center,lgcr_algo2,0.003160819974525159,37.05267853869687,0.029847263573823772,4.097410488785023e-07,0.026783192603153406,0.026783192603153406,0.11418962624148474,0.7905609539324281,0.03511321923828551,0.010244590108327213
test,test_01000_sine_coedge,sine,coedge,lanczos,center,center,ablate_algo6_ungated,0.003924513937529391,36.28546869368337,0.037544035914574385,4.09823509731463e-07,0.009655886531234868,0.009655886531234868,0.08923713899214253,0.6717035219937093,0.043610646500296536,0.01947046694390121
test,test_01000_sine_coedge,sine,coedge,lanczos,center,center,ablate_algo6_plus_q,0.003939445746970567,36.25924092171206,0.0376143389070681,4.095594964123198e-07,0.00971927038158266,0.00971927038158266,0.08936725875193935,0.6768416423064578,0.043777039873280695,0.019428699465823315
test,test_01000_sine_coedge,sine,coedge,lanczos,center,center,lgcr_algo6,0.0039396886811970495,36.259186242132635,0.0376143389070681,4.095594964123198e-07,0.00971927038158266,0.00971927038158266,0.08936725875193935,0.6768416423064578,0.043779742815310045,0.019428639994224624
test,test_01001_chevron_coedge,chevron,coedge,box,left,left,lgcr_plain_jinc,0.003319202499241701,32.010981773446346,0.0338056275239805,0.0,0.49907504125916624,0.49907504125916624,0.08787732213706363,0.9204331977930662,0.03689443082770422,3.193105970110212e-08
test,test_01001_chevron_coedge,chevron,coedge,box,left,left,ablate_similarity,0.0019034090991476092,36.26055726340515,0.019754722752124854,0.0,0.2439574190935562,0.2439574190935562,0.12688768119851057,0.5967713927905958,0.021157261250274523,3.468067873091925e-08
test,test_01001_chevron_coedge,chevron,coedge,box,left,left,ablate_plus_rescue,0.0017936978783073753,37.18435551225404,0.018602754933302396,0.0,0.20976723704746808,0.20976723704746808,0.13523547130059974,0.597904264010918,0.01993777231490683,3.468067873091925e-08
test,test_01001_chevron_coedge,chevron,coedge,box,left,left,ablate_plus_anisotropy,0.00177932399527325,37.287019954595536,0.018451829161444083,0.0,0.20663694309881184,0.20663694309881184,0.13839486484627966,0.5980632576904734,0.019778000224115595,3.468067873091925e-08
test,test_01001_chevron_coedge,chevron,coedge,box,left,left,lgcr_algo2,0.0018044424430120954,37.28322411826997,0.01853469935285072,0.0,0.20663694309881184,0.20663694309881184,0.13839486484627966,0.5980632576904734,0.020057201019621322,3.193105970110212e-08
test,test_01001_chevron_coedge,chevron,coedge,box,left,left,ablate_algo6_ungated,0.002728757045555284,33.518763806340374,0.02786807446364037,0.0,0.3770258082227378,0.3770258082227378,0.08276167504811614,0.792015707398926,0.030331375099541175,3.778508731297084e-08
test,test_01001_chevron_coedge,chevron,coedge,box,left,left,ablate_algo6_plus_q,0.002775967149528963,33.40726401003648,0.028255811542099503,0.0,0.38424305306647843,0.38424305306647843,0.08312909950516727,0.8006433410667537,0.030856134414318063,3.60111395517985e-08
test,test_01001_chevron_coedge,chevron,coedge,box,left,left,lgcr_algo6,0.0027781518548942344,33.406988368474344,0.028255825323456173,0.0,0.38424305306647843,0.38424305306647843,0.08312909950516727,0.8006433410667537,0.030880418406533345,3.5922442163739884e-08
test,test_01001_chevron_coedge,chevron,coedge,box,center,center,lgcr_plain_jinc,0.0038003036330284015,33.30424187823027,0.03854380366757531,0.0,-0.014828365407816301,0.014828365407816301,0.08274476229626458,1.5889132637483123,0.04224207509486448,2.7407492910112652e-08
test,test_01001_chevron_coedge,chevron,coedge,box,center,center,ablate_similarity,0.0024690562573439516,36.22169349563645,0.02560779676217689,0.0,-0.019609795178621645,0.019609795178621645,0.10023759672935592,1.093380686182357,0.027444669134205298,2.900404589516776e-08
test,test_01001_chevron_coedge,chevron,coedge,box,center,center,ablate_plus_rescue,0.002405842147715523,36.48961495143879,0.024944048611078393,0.0,-0.01943077278326139,0.01943077278326139,0.1005689437264765,1.0717627002761643,0.026742016486380072,2.900404589516776e-08
test,test_01001_chevron_coedge,chevron,coedge,box,center,center,ablate_plus_anisotropy,0.002389685136471941,36.556506967479045,0.02477439999302078,0.0,-0.01935845840553229,0.01935845840553229,0.10056679858282244,1.0650558705594575,0.026562424066166084,2.900404589516776e-08
test,test_01001_chevron_coedge,chevron,coedge,box,center,center,lgcr_algo2,0.0024177605925167823,36.5552853987547,0.02477439999302078,0.0,-0.01935845840553229,0.01935845840553229,0.10056679858282244,1.0650558705594575,0.026874495259973975,2.7496190298171272e-08
test,test_01001_chevron_coedge,chevron,coedge,box,center,center,ablate_algo6_ungated,0.002494206004012745,35.66932762697487,0.025296214028739564,0.0,-0.00892575625924533,0.00892575625924533,0.07086103759442934,1.108977188796926,0.027724231659833874,3.530156044732957e-08
test,test_01001_chevron_coedge,chevron,coedge,box,center,center,ablate_algo6_plus_q,0.0025172201539838393,35.64670324960624,0.025384833836900118,0.0,-0.008956985636263681,0.008956985636263681,0.07100421328120117,1.1122917606778526,0.02798004312041615,3.423719179062616e-08
test,test_01001_chevron_coedge,chevron,coedge,box,center,center,lgcr_algo6,0.00252320083671421,35.64615438987991,0.025384833836900118,0.0,-0.008956985636263681,0.008956985636263681,0.07100421328120117,1.1122917606778526,0.028046520526653955,3.397109962645031e-08
