split,scene,family,condition,degradation,true_siting,assumed_siting,method,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
test,test_01001_chevron_coedge,chevron,coedge,box,topleft,left,zimg_lanczos3,0.00402293983017254,32.34216948708452,0.04082889499522935,2.778722860273861e-09,0.3815437431078022,0.3815437431078022,0.09276240060735168,0.9120489478975053,0.04471675432952387,0.010495811140918661
test,test_01001_chevron_coedge,chevron,coedge,box,topleft,left,zimg_spline36,0.00388498742645806,32.39847383754979,0.03965727036633585,3.772410785868054e-09,0.3818317170225918,0.3818317170225918,0.09336700302837406,0.925796474868241,0.04318334171104999,0.009218601155139151
test,test_01001_chevron_coedge,chevron,coedge,box,topleft,left,jbu,0.0006675426885458096,44.60268085222771,0.006921816101978385,0.0,0.05073572342993805,0.05073572342993805,0.10979857165723886,0.024745832997045136,0.007420039527611759,2.2085649626595634e-08
test,test_01001_chevron_coedge,chevron,coedge,box,topleft,left,guided_filter,0.0010871083455978698,43.81435043410014,0.01100854139394869,0.0,0.019601697883989338,0.019601697883989338,0.020237347590279637,0.19781652944376793,0.012083703330496237,0.0026762316891411806
test,test_01001_chevron_coedge,chevron,coedge,box,topleft,left,wada_ejbf,0.0026622628828572117,33.58730057306839,0.02678110500240412,7.927181459741578e-06,0.34785510394899727,0.34785510394899727,0.07672645829804088,0.6971146380531756,0.02937597987641181,0.0
test,test_01001_chevron_coedge,chevron,coedge,box,topleft,left,korhonen,0.0007938060369005826,41.500307016783815,0.008334963387456117,0.0,0.06552058572345064,0.06552058572345064,0.08545015876580411,0.21180756656636546,0.008823547241523297,4.674352350689116e-08
test,test_01001_chevron_coedge,chevron,coedge,box,topleft,left,galosh_form,0.0011683460582178507,38.20814410669832,0.012267633611287434,0.0,0.10397562514033576,0.10397562514033576,0.21161499294267605,0.31793730495556094,0.012592174037070521,5.26862485068185e-08
test,test_01001_chevron_coedge,chevron,coedge,box,topleft,left,lgcr_plain_jinc,0.0030340071889729606,32.70788218447701,0.030760309624232225,0.0,0.38168436334323264,0.38168436334323264,0.09081061561625405,0.9174773444102806,0.03372435975775477,3.2729336193629676e-08
test,test_01001_chevron_coedge,chevron,coedge,box,topleft,left,lgcr_algo2,0.0016760621859303888,38.230447608340974,0.017159980184671787,0.0,0.1403688918839816,0.1403688918839816,0.11434225800666092,0.6051221814640715,0.01863019975523154,3.290673096974691e-08
test,test_01001_chevron_coedge,chevron,coedge,box,topleft,left,lgcr_algo4,0.0014030218699705886,39.764786709595725,0.014182163306919566,0.0,0.11537533965533596,0.11537533965533596,0.13018123155708342,0.2896014189708582,0.015595223699208526,2.979050949679704e-05
